,id,date,tests,confirmed,recovered,deaths,hosp,vent,icu,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index,iso_alpha_3,iso_alpha_2,iso_numeric,currency,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,key,key_apple_mobility,key_google_mobility
11072,CAN,2020-01-01,0,0,0,0,0,0,0,37057765,0,0,0,0,0,0,0,0,0,0,0,0.0,CAN,CA,124.0,CAD,1,Canada,,,44.78404667,-82.50859333,,Canada,CA
11073,CAN,2020-01-02,0,0,0,0,0,0,0,37057765,0,0,0,0,0,0,0,0,0,0,0,0.0,CAN,CA,124.0,CAD,1,Canada,,,44.78404667,-82.50859333,,Canada,CA
11074,CAN,2020-01-03,0,0,0,0,0,0,0,37057765,0,0,0,0,0,0,0,0,0,0,0,0.0,CAN,CA,124.0,CAD,1,Canada,,,44.78404667,-82.50859333,,Canada,CA
11075,CAN,2020-01-04,0,0,0,0,0,0,0,37057765,0,0,0,0,0,0,0,0,0,0,0,0.0,CAN,CA,124.0,CAD,1,Canada,,,44.78404667,-82.50859333,,Canada,CA
11076,CAN,2020-01-05,0,0,0,0,0,0,0,37057765,0,0,0,0,0,0,0,0,0,0,0,0.0,CAN,CA,124.0,CAD,1,Canada,,,44.78404667,-82.50859333,,Canada,CA
11077,CAN,2020-01-06,0,0,0,0,0,0,0,37057765,0,0,0,0,0,0,0,0,0,0,0,0.0,CAN,CA,124.0,CAD,1,Canada,,,44.78404667,-82.50859333,,Canada,CA
11078,CAN,2020-01-07,0,0,0,0,0,0,0,37057765,0,0,0,0,0,0,0,0,0,0,0,0.0,CAN,CA,124.0,CAD,1,Canada,,,44.78404667,-82.50859333,,Canada,CA
11079,CAN,2020-01-08,0,0,0,0,0,0,0,37057765,0,0,0,0,0,0,0,0,0,0,0,0.0,CAN,CA,124.0,CAD,1,Canada,,,44.78404667,-82.50859333,,Canada,CA
11080,CAN,2020-01-09,0,0,0,0,0,0,0,37057765,0,0,0,0,0,0,0,0,0,0,0,0.0,CAN,CA,124.0,CAD,1,Canada,,,44.78404667,-82.50859333,,Canada,CA
11081,CAN,2020-01-10,0,0,0,0,0,0,0,37057765,0,0,0,0,0,0,0,0,0,0,0,0.0,CAN,CA,124.0,CAD,1,Canada,,,44.78404667,-82.50859333,,Canada,CA
11082,CAN,2020-01-11,0,0,0,0,0,0,0,37057765,0,0,0,0,0,0,0,0,0,0,0,0.0,CAN,CA,124.0,CAD,1,Canada,,,44.78404667,-82.50859333,,Canada,CA
11083,CAN,2020-01-12,0,0,0,0,0,0,0,37057765,0,0,0,0,0,0,0,0,0,0,0,0.0,CAN,CA,124.0,CAD,1,Canada,,,44.78404667,-82.50859333,,Canada,CA
11084,CAN,2020-01-13,0,0,0,0,0,0,0,37057765,0,0,0,0,0,0,0,0,0,0,0,0.0,CAN,CA,124.0,CAD,1,Canada,,,44.78404667,-82.50859333,,Canada,CA
11085,CAN,2020-01-14,0,0,0,0,0,0,0,37057765,0,0,0,0,0,0,0,0,0,0,0,0.0,CAN,CA,124.0,CAD,1,Canada,,,44.78404667,-82.50859333,,Canada,CA
11086,CAN,2020-01-15,0,0,0,0,0,0,0,37057765,0,0,0,0,0,0,0,0,0,0,0,0.0,CAN,CA,124.0,CAD,1,Canada,,,44.78404667,-82.50859333,,Canada,CA
11087,CAN,2020-01-16,0,0,0,0,0,0,0,37057765,0,0,0,0,0,0,0,0,0,0,0,0.0,CAN,CA,124.0,CAD,1,Canada,,,44.78404667,-82.50859333,,Canada,CA
11088,CAN,2020-01-17,0,0,0,0,0,0,0,37057765,0,0,0,0,0,0,0,0,0,0,0,0.0,CAN,CA,124.0,CAD,1,Canada,,,44.78404667,-82.50859333,,Canada,CA
11089,CAN,2020-01-18,0,0,0,0,0,0,0,37057765,0,0,0,0,0,0,0,0,0,0,0,0.0,CAN,CA,124.0,CAD,1,Canada,,,44.78404667,-82.50859333,,Canada,CA
11090,CAN,2020-01-19,0,0,0,0,0,0,0,37057765,0,0,0,0,0,0,0,0,0,0,0,0.0,CAN,CA,124.0,CAD,1,Canada,,,44.78404667,-82.50859333,,Canada,CA
